phase,group_type,group_label,run,n_seeds,n_mean,accuracy_mean,accuracy_min,accuracy_max,roc_auc_mean,roc_auc_min,roc_auc_max,brier_score_mean,brier_score_min,brier_score_max,expected_calibration_error_mean,expected_calibration_error_min,expected_calibration_error_max,predicted_fake_rate_mean,predicted_fake_rate_min,predicted_fake_rate_max,real_false_positive_rate_mean,real_false_positive_rate_min,real_false_positive_rate_max,fake_detection_rate_mean,fake_detection_rate_min,fake_detection_rate_max,mean_fake_score_mean,mean_fake_score_min,mean_fake_score_max
ishu_holdout,ishu_category,human,combined_v4_logreg,3,20.0,0.8356902356902357,0.8,0.8888888888888888,0.8903703703703704,0.8099999999999999,0.9444444444444444,0.1312692999657843,0.08998866857021182,0.15791308703812773,0.17076946322594289,0.13637802590973375,0.18825029375573815,0.49966329966329964,0.4444444444444444,0.6,0.2388888888888889,0.16666666666666666,0.3,0.9666666666666667,0.9,1.0,0.4732752085457492,0.4007939920496331,0.5752642526324052
ishu_holdout,ishu_category,human,combined_v4_logreg_selectk60,3,20.0,0.8223905723905723,0.75,0.9444444444444444,0.8724074074074074,0.77,0.9305555555555555,0.15025991308842096,0.12463017057431107,0.1771581038937959,0.2088370337689075,0.1527034478536734,0.2546671251847228,0.4826599326599326,0.3888888888888889,0.65,0.24444444444444446,0.08333333333333333,0.4,0.9111111111111111,0.8333333333333334,1.0,0.48593486057368507,0.427582790896188,0.595170943652738
ishu_holdout,ishu_category,interior,combined_v3_logreg,3,12.0,0.8583333333333334,0.8,0.9,0.9392361111111112,0.921875,0.9583333333333334,0.1295320520805778,0.11020721590232616,0.1592196047691729,0.20524574293910214,0.13717866491060704,0.28242521882057187,0.575,0.4,0.7,0.08333333333333333,0.0,0.25,0.8472222222222222,0.6666666666666666,1.0,0.5197857193571206,0.4720784497447312,0.5697039271472022
ishu_holdout,ishu_category,interior,combined_v4_logreg,3,12.0,0.8250000000000001,0.8,0.875,0.9565972222222222,0.9166666666666666,1.0,0.12572409888085187,0.09756407558747394,0.15736725230240073,0.2187678373729189,0.12762358319014308,0.3089383538812399,0.5416666666666666,0.4,0.625,0.08333333333333333,0.0,0.25,0.8055555555555555,0.6666666666666666,1.0,0.5291740260397394,0.4807626288384199,0.5916119245812297
ishu_holdout,ishu_category,interior,combined_v4_logreg_selectk60,3,12.0,0.8250000000000001,0.8,0.875,0.9583333333333334,0.9375,1.0,0.13515965558210813,0.1079178624343566,0.18006088418045768,0.25320719376516837,0.16709471982903779,0.3685322284698487,0.5416666666666666,0.4,0.625,0.08333333333333333,0.0,0.25,0.8055555555555555,0.6666666666666666,1.0,0.5073308531971027,0.42618012968450786,0.6019854445476085
ishu_holdout,ishu_category,items,combined_v3_logreg,3,12.666666666666666,0.919047619047619,0.8571428571428571,1.0,1.0,1.0,1.0,0.05013364062582171,0.022092224757219715,0.06685175627537858,0.12084698677728672,0.09113698910479277,0.14889407321916076,0.32857142857142857,0.2,0.5,0.0,0.0,0.0,0.7777777777777777,0.6666666666666666,1.0,0.3327345714749193,0.210860962928332,0.45363137264426506
ishu_holdout,ishu_category,items,combined_v4_logreg,3,12.666666666666666,0.919047619047619,0.8571428571428571,1.0,1.0,1.0,1.0,0.04384343070891324,0.0175557704989861,0.06403328282684022,0.11311538647515984,0.0751785184073595,0.1531240226220626,0.32857142857142857,0.2,0.5,0.0,0.0,0.0,0.7777777777777777,0.6666666666666666,1.0,0.33060371225266777,0.20644296832395964,0.45797059955904934
ishu_holdout,ishu_category,items,combined_v4_logreg_selectk60,3,12.666666666666666,0.861904761904762,0.7857142857142857,1.0,1.0,1.0,1.0,0.06787059045015639,0.01635322447695022,0.09658199003403503,0.1477857957855967,0.07960687022023191,0.2064117745455535,0.2714285714285714,0.1,0.5,0.0,0.0,0.0,0.611111111111111,0.3333333333333333,1.0,0.3074475645172135,0.16658409652815373,0.45716241085002757
ishu_holdout,ishu_category,nature,combined_v3_logreg,3,21.333333333333332,0.7135449735449736,0.6111111111111112,0.8095238095238095,0.8239478114478115,0.7272727272727273,0.9181818181818181,0.19439869076759164,0.12092155425784747,0.26341518404575087,0.2437606954570255,0.09974581845985345,0.3536793875181401,0.4772486772486772,0.4,0.5555555555555556,0.28679653679653677,0.18181818181818182,0.42857142857142855,0.701010101010101,0.6363636363636364,0.8,0.4818281508382947,0.4726443228638446,0.49327956486132235
ishu_holdout,ishu_category,nature,combined_v4_logreg,3,21.333333333333332,0.732063492063492,0.6666666666666666,0.8095238095238095,0.8493386243386244,0.7922077922077921,0.9363636363636364,0.18266731698065,0.10672137589624751,0.24438466708340537,0.247068860959288,0.11647567028765995,0.33228029174766666,0.48539682539682544,0.47619047619047616,0.5,0.26001082251082247,0.18181818181818182,0.3125,0.7380471380471381,0.6363636363636364,0.8,0.5015648094547321,0.4894733293537128,0.5112095916906366
