phase,group_type,group_label,seed,run,accuracy,precision,recall,f1,threshold,confusion_matrix,n_samples,brier_score,expected_calibration_error,maximum_calibration_error,roc_auc,n,n_real,n_fake,predicted_fake_rate,real_false_positive_rate,fake_detection_rate,mean_fake_score
ishu_holdout,ishu_category,items,29,combined_v4_logreg_selectk60,1.0,1.0,1.0,1.0,0.5,"[[7, 0], [0, 7]]",14,0.01635322447695022,0.07960687022023191,0.3842426538467407,1.0,14,7,7,0.5,0.0,1.0,0.45716241085002757
ishu_holdout,ishu_category,nature,7,combined_v3_logreg,0.6111111111111112,0.7,0.6363636363636364,0.6666666666666666,0.5,"[[4, 3], [4, 7]]",18,0.26341518404575087,0.3536793875181401,0.7986190766096115,0.7272727272727273,18,7,11,0.5555555555555556,0.42857142857142855,0.6363636363636364,0.4726443228638446
ishu_holdout,ishu_category,nature,7,combined_v4_logreg,0.6666666666666666,0.7777777777777778,0.6363636363636364,0.7,0.5,"[[5, 2], [4, 7]]",18,0.24438466708340537,0.33228029174766666,0.7834963798522949,0.7922077922077921,18,7,11,0.5,0.2857142857142857,0.6363636363636364,0.4894733293537128
ishu_holdout,ishu_category,nature,7,combined_v4_logreg_selectk60,0.6666666666666666,0.7777777777777778,0.6363636363636364,0.7,0.5,"[[5, 2], [4, 7]]",18,0.23240910426837239,0.2362317161043595,0.8711074143648148,0.7792207792207793,18,7,11,0.5,0.2857142857142857,0.6363636363636364,0.48503825569019277
ishu_holdout,ishu_category,nature,17,combined_v3_logreg,0.8095238095238095,0.8,0.8,0.8,0.5,"[[9, 2], [2, 8]]",21,0.12092155425784747,0.09974581845985345,0.8065245747566223,0.9181818181818181,21,11,10,0.47619047619047616,0.18181818181818182,0.8,0.49327956486132235
ishu_holdout,ishu_category,nature,17,combined_v4_logreg,0.8095238095238095,0.8,0.8,0.8,0.5,"[[9, 2], [2, 8]]",21,0.10672137589624751,0.11647567028765995,0.7746444344520569,0.9363636363636364,21,11,10,0.47619047619047616,0.18181818181818182,0.8,0.5112095916906366
ishu_holdout,ishu_category,nature,17,combined_v4_logreg_selectk60,0.7619047619047619,0.7272727272727273,0.8,0.7619047619047619,0.5,"[[8, 3], [2, 8]]",21,0.10751919223333072,0.19452225272609558,0.6003946661949158,0.9272727272727272,21,11,10,0.5238095238095238,0.2727272727272727,0.8,0.5104330724666181
ishu_holdout,ishu_category,nature,29,combined_v3_logreg,0.72,0.6,0.6666666666666666,0.631578947368421,0.5,"[[12, 4], [3, 6]]",25,0.1988593339991766,0.277856880393083,0.8559025526046753,0.8263888888888888,25,16,9,0.4,0.25,0.6666666666666666,0.4795605647897173
ishu_holdout,ishu_category,nature,29,combined_v4_logreg,0.72,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.5,"[[11, 5], [2, 7]]",25,0.19689590796229717,0.2924506208425373,0.8995702862739563,0.8194444444444444,25,16,9,0.48,0.3125,0.7777777777777778,0.5040115073198467
ishu_holdout,ishu_category,nature,29,combined_v4_logreg_selectk60,0.72,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.5,"[[11, 5], [2, 7]]",25,0.20316203781462513,0.22492785946291408,0.8621250987052917,0.8333333333333333,25,16,9,0.48,0.3125,0.7777777777777778,0.5481146289483877
ishu_to_ms_cocoai,ms_source,dalle3,7,combined_v3_logreg,0.2,1.0,0.2,0.3333333333333333,0.5,"[[0, 0], [80, 20]]",100,0.5631232551080285,0.707302287381608,0.9618811131860581,,100,0,100,0.2,,0.2,0.29269771261839195
ishu_to_ms_cocoai,ms_source,dalle3,7,combined_v4_logreg,0.28,1.0,0.28,0.4375,0.5,"[[0, 0], [72, 28]]",100,0.5502395743076591,0.6868707276007628,0.9648613200588443,,100,0,100,0.28,,0.28,0.3131292723992374
ishu_to_ms_cocoai,ms_source,dalle3,7,combined_v4_logreg_selectk60,0.28,1.0,0.28,0.4375,0.5,"[[0, 0], [72, 28]]",100,0.5038949296446102,0.6673130593961104,0.9509616171401974,,100,0,100,0.28,,0.28,0.33268694060388954
ishu_to_ms_cocoai,ms_source,dalle3,17,combined_v3_logreg,0.24,1.0,0.24,0.3870967741935484,0.5,"[[0, 0], [76, 24]]",100,0.5441394175270159,0.6877795780892483,0.9627211870237564,,100,0,100,0.24,,0.24,0.3122204219107516
ishu_to_ms_cocoai,ms_source,dalle3,17,combined_v4_logreg,0.31,1.0,0.31,0.4732824427480916,0.5,"[[0, 0], [69, 31]]",100,0.5316492162789997,0.6683609201299258,0.9639624490828282,,100,0,100,0.31,,0.31,0.33163907987007407
ishu_to_ms_cocoai,ms_source,dalle3,17,combined_v4_logreg_selectk60,0.25,1.0,0.25,0.4,0.5,"[[0, 0], [75, 25]]",100,0.49781818954614593,0.6550481434212998,0.9497710377909243,,100,0,100,0.25,,0.25,0.34495185657870026
ishu_to_ms_cocoai,ms_source,dalle3,29,combined_v3_logreg,0.13,1.0,0.13,0.23008849557522124,0.5,"[[0, 0], [87, 13]]",100,0.6263610198963795,0.7568363506346941,0.9653602542562617,,100,0,100,0.13,,0.13,0.2431636493653059
ishu_to_ms_cocoai,ms_source,dalle3,29,combined_v4_logreg,0.19,1.0,0.19,0.31932773109243695,0.5,"[[0, 0], [81, 19]]",100,0.6297207361348949,0.7541841676950571,0.9658738045630009,,100,0,100,0.19,,0.19,0.2458158323049429
ishu_to_ms_cocoai,ms_source,dalle3,29,combined_v4_logreg_selectk60,0.16,1.0,0.16,0.27586206896551724,0.5,"[[0, 0], [84, 16]]",100,0.6621590647116186,0.7789166833530182,0.9661178140101048,,100,0,100,0.16,,0.16,0.221083316646982
ishu_to_ms_cocoai,ms_source,midjourney6,7,combined_v3_logreg,0.26,1.0,0.26,0.4126984126984127,0.5,"[[0, 0], [74, 26]]",100,0.5213913008572814,0.6622724431197708,0.9564354730410833,,100,0,100,0.26,,0.26,0.33772755688022926
ishu_to_ms_cocoai,ms_source,midjourney6,7,combined_v4_logreg,0.32,1.0,0.32,0.48484848484848486,0.5,"[[0, 0], [68, 32]]",100,0.509916493010608,0.6416555739461479,0.9615404279109225,,100,0,100,0.32,,0.32,0.3583444260538522
ishu_to_ms_cocoai,ms_source,midjourney6,7,combined_v4_logreg_selectk60,0.35,1.0,0.35,0.5185185185185185,0.5,"[[0, 0], [65, 35]]",100,0.45251703062663795,0.6163112302714399,0.9504746565887806,,100,0,100,0.35,,0.35,0.38368876972856014
ishu_to_ms_cocoai,ms_source,midjourney6,17,combined_v3_logreg,0.25,1.0,0.25,0.4,0.5,"[[0, 0], [75, 25]]",100,0.521760972249867,0.6607215997883441,0.956006399545441,,100,0,100,0.25,,0.25,0.33927840021165595
ishu_to_ms_cocoai,ms_source,midjourney6,17,combined_v4_logreg,0.29,1.0,0.29,0.4496124031007752,0.5,"[[0, 0], [71, 29]]",100,0.512878660757083,0.6425193144472451,0.9601523099961994,,100,0,100,0.29,,0.29,0.357480685552755
ishu_to_ms_cocoai,ms_source,midjourney6,17,combined_v4_logreg_selectk60,0.3,1.0,0.3,0.46153846153846156,0.5,"[[0, 0], [70, 30]]",100,0.46818184617265096,0.6255190115126061,0.9514204983612444,,100,0,100,0.3,,0.3,0.3744809884873939
ishu_to_ms_cocoai,ms_source,midjourney6,29,combined_v3_logreg,0.23,1.0,0.23,0.37398373983739835,0.5,"[[0, 0], [77, 23]]",100,0.5517511383647405,0.6892063054299342,0.9516703730467668,,100,0,100,0.23,,0.23,0.3107936945700658
ishu_to_ms_cocoai,ms_source,midjourney6,29,combined_v4_logreg,0.23,1.0,0.23,0.37398373983739835,0.5,"[[0, 0], [77, 23]]",100,0.5597594139520846,0.6891298348501914,0.9550893294861219,,100,0,100,0.23,,0.23,0.3108701651498086
ishu_to_ms_cocoai,ms_source,midjourney6,29,combined_v4_logreg_selectk60,0.24,1.0,0.24,0.3870967741935484,0.5,"[[0, 0], [76, 24]]",100,0.54037926366538,0.684572592653276,0.956494553542143,,100,0,100,0.24,,0.24,0.3154274073467241
ishu_to_ms_cocoai,ms_source,real,7,combined_v3_logreg,0.864,0.0,0.0,0.0,0.5,"[[432, 68], [0, 0]]",500,0.10324576860002702,0.2157255026649691,0.9434438645839691,,500,500,0,0.136,0.136,,0.2157255026649691
ishu_to_ms_cocoai,ms_source,real,7,combined_v4_logreg,0.856,0.0,0.0,0.0,0.5,"[[428, 72], [0, 0]]",500,0.10231195356564542,0.20921724980925077,0.9334452450275421,,500,500,0,0.144,0.144,,0.20921724980925077
ishu_to_ms_cocoai,ms_source,real,7,combined_v4_logreg_selectk60,0.854,0.0,0.0,0.0,0.5,"[[427, 73], [0, 0]]",500,0.10420875512683134,0.23589175641810461,0.9542799790700277,,500,500,0,0.146,0.146,,0.23589175641810464
ishu_to_ms_cocoai,ms_source,real,17,combined_v3_logreg,0.87,0.0,0.0,0.0,0.5,"[[435, 65], [0, 0]]",500,0.09897022629006462,0.20948953446002813,0.9507064700126648,,500,500,0,0.13,0.13,,0.20948953446002816
ishu_to_ms_cocoai,ms_source,real,17,combined_v4_logreg,0.878,0.0,0.0,0.0,0.5,"[[439, 61], [0, 0]]",500,0.09239260944979763,0.19197509302971497,0.9403879642486572,,500,500,0,0.122,0.122,,0.191975093029715
ishu_to_ms_cocoai,ms_source,real,17,combined_v4_logreg_selectk60,0.892,0.0,0.0,0.0,0.5,"[[446, 54], [0, 0]]",500,0.08850850478576146,0.2058112246492258,0.9532672961552938,,500,500,0,0.108,0.108,,0.20581122464922583
