seed,fusion_c,dropout_config,source_fake_rate_cap,n_holdouts,validation_utility_mean,validation_utility_min,validation_accuracy_mean,validation_roc_auc_mean,validation_predicted_positive_rate_mean,threshold_train_predicted_positive_rate_mean,threshold_mean
17,1.0,mean0p35x8,0.48,5,1.3919970161977833,0.6764705882352942,0.9294838285433256,0.9962907075873828,0.21239220059502212,0.47384182624501936,0.9919984905598517
17,1.0,mean0p35x8,0.5,5,1.4508205456095482,0.8043478260869565,0.9354539777970569,0.9962907075873828,0.2183623498487534,0.49694339014384636,0.9866341931450503
17,0.3,none,0.4,5,1.1208603842874942,0.2352941176470591,0.9005918381506197,0.9963930093776641,0.18350021020231613,0.3953767592343312,0.9593256808265925
17,0.3,none,0.42,5,1.1208603842874942,0.2352941176470591,0.9005918381506197,0.9963930093776641,0.18350021020231613,0.4153872621473603,0.9555000367722022
17,0.3,none,0.45,5,1.248934356351236,0.3823529411764708,0.9126658451540889,0.9963930093776641,0.1955742172057854,0.4461893473457962,0.9406715960977763
17,0.3,none,0.48,5,1.421408780903666,0.8043478260869565,0.9324689031701914,0.9963930093776641,0.21537727522188774,0.47384182624501936,0.920931494515927
17,0.3,none,0.5,5,1.4725596760443307,0.9130434782608694,0.9381937038244542,0.9963930093776641,0.2211020758761507,0.49694339014384636,0.9079809308990303
17,0.3,mean0p35x8,0.4,5,1.1000270509541612,0.2352941176470591,0.8978891354479168,0.9957587382779198,0.1807975074996134,0.3953767592343312,0.9964181933491727
17,0.3,mean0p35x8,0.42,5,1.159321922749033,0.2352941176470591,0.9037664413252229,0.9957587382779198,0.1866748133769193,0.4153872621473603,0.9953646238147085
17,0.3,mean0p35x8,0.45,5,1.248934356351236,0.3823529411764708,0.9126658451540889,0.9957587382779198,0.1955742172057854,0.4461893473457962,0.9925921134148394
17,0.3,mean0p35x8,0.48,5,1.3919970161977833,0.6764705882352942,0.9294838285433256,0.9957587382779198,0.21239220059502212,0.47384182624501936,0.985019196052782
17,0.3,mean0p35x8,0.5,5,1.421408780903666,0.8043478260869565,0.9324689031701914,0.9957587382779198,0.21537727522188774,0.49694339014384636,0.9769384601715514
17,0.1,none,0.4,5,1.0692381467637222,0.3823529411764708,0.8949598808727822,0.9953712702472293,0.17786825292447866,0.3953767592343312,0.9181136904573337
17,0.1,none,0.42,5,1.1887336874549153,0.3823529411764708,0.9067515159520884,0.9953712702472293,0.18965988800378497,0.4153872621473603,0.9082130976341551
17,0.1,none,0.45,5,1.248934356351236,0.3823529411764708,0.9126658451540889,0.9953712702472293,0.1955742172057854,0.4461893473457962,0.8943947992490944
17,0.1,none,0.48,5,1.3408461210571185,0.5294117647058822,0.9237590278890627,0.9953712702472293,0.20666739994075917,0.47384182624501936,0.8660584777940322
17,0.1,none,0.5,5,1.4725596760443307,0.9130434782608694,0.9381937038244542,0.9953712702472293,0.2211020758761507,0.49694339014384636,0.8457736331202821
17,0.1,mean0p35x8,0.4,5,1.1294388156600434,0.3823529411764708,0.9008742100747826,0.9946683716965048,0.18378258212647908,0.3953767592343312,0.9907358076178692
17,0.1,mean0p35x8,0.42,5,1.167900354121582,0.3823529411764708,0.9040488132493858,0.9946683716965048,0.18695718530108224,0.4153872621473603,0.9891736449367496
17,0.1,mean0p35x8,0.45,5,1.248934356351236,0.3823529411764708,0.9126658451540889,0.9946683716965048,0.1955742172057854,0.4461893473457962,0.9826739551247871
17,0.1,mean0p35x8,0.48,5,1.3919970161977833,0.6764705882352942,0.9294838285433256,0.9946683716965048,0.21239220059502212,0.47384182624501936,0.9685320780745361
17,0.1,mean0p35x8,0.5,5,1.413736146632566,0.6764705882352942,0.9322235545707228,0.9946683716965048,0.21513192662241937,0.49694339014384636,0.9565860735787964
17,0.03,none,0.4,5,1.1076996852252605,0.3823529411764708,0.8981344840473854,0.9936364023870418,0.18104285609908183,0.3953767592343312,0.8338315568932899
17,0.03,none,0.42,5,1.167900354121582,0.3823529411764708,0.9040488132493858,0.9936364023870418,0.18695718530108224,0.4153872621473603,0.8216080228789922
17,0.03,none,0.45,5,1.248934356351236,0.3823529411764708,0.9126658451540889,0.9936364023870418,0.1955742172057854,0.4461893473457962,0.8045347186426254
17,0.03,none,0.48,5,1.362585251491901,0.5294117647058822,0.9264987539164599,0.9936364023870418,0.20940712596815642,0.47384182624501936,0.7773510910049157
17,0.03,none,0.5,5,1.4431479113384484,0.8235294117647058,0.9352086291975885,0.9936364023870418,0.21811700124928501,0.49694339014384636,0.7555102794416074
17,0.03,mean0p35x8,0.4,5,1.1294388156600434,0.3823529411764708,0.9008742100747826,0.9939185848252345,0.18378258212647908,0.3953767592343312,0.9725496525440087
17,0.03,mean0p35x8,0.42,5,1.167900354121582,0.3823529411764708,0.9040488132493858,0.9939185848252345,0.18695718530108224,0.4153872621473603,0.9680856545984466
17,0.03,mean0p35x8,0.45,5,1.248934356351236,0.3823529411764708,0.9126658451540889,0.9939185848252345,0.1955742172057854,0.4461893473457962,0.956529015201224
17,0.03,mean0p35x8,0.48,5,1.3702578857630008,0.6764705882352942,0.9267441025159282,0.9939185848252345,0.20965247456762484,0.47384182624501936,0.9305208697528821
17,0.03,mean0p35x8,0.5,5,1.413736146632566,0.6764705882352942,0.9322235545707228,0.9939185848252345,0.21513192662241937,0.49694339014384636,0.9166247898264954
17,0.01,none,0.4,5,1.048404813430389,0.3823529411764708,0.8922571781700794,0.9919701619778346,0.17516555022177593,0.3953767592343312,0.7265863734065523
17,0.01,none,0.42,5,1.1896394845563645,0.3823529411764708,0.9067885392767829,0.9919701619778346,0.18969691132847952,0.4153872621473603,0.717599765907723
17,0.01,none,0.45,5,1.248934356351236,0.3823529411764708,0.9126658451540889,0.9919701619778346,0.1955742172057854,0.4461893473457962,0.7001905983798835
17,0.01,none,0.48,5,1.362585251491901,0.5294117647058822,0.9264987539164599,0.9919701619778346,0.20940712596815642,0.47384182624501936,0.6782644980557931
17,0.01,none,0.5,5,1.481971440750213,0.9130434782608694,0.9384390524239226,0.9919701619778346,0.22682687653041364,0.49694339014384636,0.6615582677046735
17,0.01,mean0p35x8,0.4,5,1.1076996852252605,0.3823529411764708,0.8981344840473854,0.9933499573742541,0.18104285609908183,0.3953767592343312,0.9310507176780606
17,0.01,mean0p35x8,0.42,5,1.2063618925831203,0.3823529411764708,0.907223416423989,0.9933499573742541,0.1901317884756854,0.4153872621473603,0.9213046511347326
17,0.01,mean0p35x8,0.45,5,1.248934356351236,0.3823529411764708,0.9126658451540889,0.9933499573742541,0.1955742172057854,0.4461893473457962,0.9038704614147021
17,0.01,mean0p35x8,0.48,5,1.362585251491901,0.5294117647058822,0.9264987539164599,0.9933499573742541,0.20940712596815642,0.47384182624501936,0.8732260687180362
17,0.01,mean0p35x8,0.5,5,1.3919970161977833,0.6764705882352942,0.9294838285433256,0.9933499573742541,0.21239220059502212,0.49694339014384636,0.8501627203286896
29,1.0,none,0.4,5,1.051767676767677,0.125,0.8916199813258636,0.9994363636363637,0.1768674136321195,0.3969507575757576,0.9658876579956844
29,1.0,none,0.42,5,1.2277777777777776,0.5,0.9116293183940243,0.9994363636363637,0.1968767507002801,0.41536858974358976,0.9610959351369948
29,1.0,none,0.45,5,1.353787878787879,0.6249999999999999,0.9259243697478992,0.9994363636363637,0.21117180205415495,0.446143648018648,0.9547862253769441
29,1.0,none,0.48,5,1.4775252525252527,0.6249999999999999,0.940140056022409,0.9994363636363637,0.2253874883286648,0.4769187062937063,0.9461596938286402
